[2024-03-22 18:02:24] [world] The Player <I_am_amazing> has extracted 7 of GOLD_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 18:02:25] [world] The Player <I_am_amazing> has extracted 7 of IRON_INGOT from a Furnace that's located at X= -40, Y= 7, Z= -81
[2024-03-22 18:02:51] [world] The Player <I_am_amazing> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -40, Y= 6, Z= -82
[2024-03-22 18:02:53] [world] The Player <I_am_amazing> has extracted 3 of GOLD_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 18:02:54] [world] The Player <I_am_amazing> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -40, Y= 7, Z= -81
[2024-03-22 18:02:55] [world] The Player <I_am_amazing> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
[2024-03-22 18:03:01] [world] The Player <I_am_amazing> has extracted 1 of GOLD_INGOT from a Furnace that's located at X= -40, Y= 8, Z= -81
[2024-03-22 18:03:02] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
[2024-03-22 18:03:09] [world] The Player <I_am_amazing> has extracted 2 of IRON_INGOT from a Furnace that's located at X= -40, Y= 7, Z= -81
[2024-03-22 18:03:12] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -41, Y= 8, Z= -82
[2024-03-22 18:03:15] [world] The Player <I_am_amazing> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -40, Y= 6, Z= -82
[2024-03-22 18:45:52] [world] The Player <qwerty> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-22 18:45:59] [world] The Player <qwerty> has extracted 3 of STONE from a Furnace that's located at X= -666, Y= 97, Z= -783
[2024-03-22 19:03:24] [world] The Player <qwerty> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-22 19:24:57] [world] The Player <digbick> has extracted 3 of IRON_INGOT from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-22 19:45:08] [world] The Player <digbick> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -688, Y= 71, Z= 316
[2024-03-22 20:27:55] [world] The Player <digbick> has extracted 4 of IRON_INGOT from a Furnace that's located at X= -687, Y= 71, Z= 316
[2024-03-22 20:53:41] [world] The Player <Mudkips_Rule> has extracted 64 of GLASS from a Furnace that's located at X= -1154, Y= 66, Z= -434
[2024-03-22 21:27:59] [world] The Player <Mudkips_Rule> has extracted 64 of GLASS from a Furnace that's located at X= -1151, Y= 66, Z= -434
[2024-03-22 21:57:32] [world] The Player <Marshtomp12345> has extracted 13 of IRON_INGOT from a Furnace that's located at X= -1154, Y= 66, Z= -434
[2024-03-22 23:04:51] [world_nether] The Player <qwerty> has extracted 3 of COOKED_BEEF from a Furnace that's located at X= -158, Y= 75, Z= -196
