[2024-03-21 12:36:01] [world] The Player <dick_slap> has extracted 2 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 262
[2024-03-21 12:36:04] [world] The Player <dick_slap> has extracted 2 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 261
[2024-03-21 12:36:16] [world] The Player <dick_slap> has extracted 1 of COAL from a Furnace that's located at X= -766, Y= 64, Z= 262
[2024-03-21 12:42:11] [world] The Player <ACE> has extracted 25 of STONE from a Furnace that's located at X= -766, Y= 64, Z= 257
[2024-03-21 12:43:28] [world] The Player <PenguinBoi> has extracted 1 of COAL from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:44:34] [world] The Player <PenguinBoi> has extracted 6 of GRILLED_PORK from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:45:13] [world] The Player <dick_slap> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -766, Y= 64, Z= 261
[2024-03-21 12:45:14] [world] The Player <PenguinBoi> has extracted 2 of COOKED_CHICKEN from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:45:24] [world] The Player <PenguinBoi> has extracted 1 of COOKED_CHICKEN from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:45:59] [world] The Player <PenguinBoi> has extracted 2 of COAL from a Furnace that's located at X= -376, Y= 88, Z= -62
[2024-03-21 12:46:02] [world] The Player <PenguinBoi> has extracted 3 of COAL from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:46:23] [world] The Player <PenguinBoi> has extracted 2 of COAL from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:46:26] [world] The Player <PenguinBoi> has extracted 2 of COAL from a Furnace that's located at X= -376, Y= 88, Z= -62
[2024-03-21 12:47:36] [world] The Player <PenguinBoi> has extracted 7 of COAL from a Furnace that's located at X= -376, Y= 88, Z= -62
[2024-03-21 12:47:38] [world] The Player <PenguinBoi> has extracted 8 of COAL from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:48:01] [world] The Player <PenguinBoi> has extracted 2 of COAL from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:48:04] [world] The Player <PenguinBoi> has extracted 3 of COAL from a Furnace that's located at X= -376, Y= 88, Z= -62
[2024-03-21 12:48:10] [world] The Player <PenguinBoi> has extracted 1 of COAL from a Furnace that's located at X= -376, Y= 88, Z= -62
[2024-03-21 12:48:13] [world] The Player <PenguinBoi> has extracted 1 of COAL from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:48:19] [world] The Player <PenguinBoi> has extracted 1 of COAL from a Furnace that's located at X= -376, Y= 88, Z= -62
[2024-03-21 12:48:20] [world] The Player <dick_slap> has extracted 3 of COOKED_CHICKEN from a Furnace that's located at X= -766, Y= 64, Z= 261
[2024-03-21 12:49:20] [world] The Player <PenguinBoi> has extracted 8 of GLASS from a Furnace that's located at X= -376, Y= 89, Z= -62
[2024-03-21 12:49:55] [world] The Player <PenguinBoi> has extracted 3 of GLASS from a Furnace that's located at X= -376, Y= 89, Z= -62
[2024-03-21 12:49:57] [world] The Player <PenguinBoi> has extracted 1 of GLASS from a Furnace that's located at X= -376, Y= 89, Z= -62
[2024-03-21 12:51:49] [world] The Player <PenguinBoi> has extracted 21 of IRON_INGOT from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 12:51:51] [world] The Player <PenguinBoi> has extracted 9 of GLASS from a Furnace that's located at X= -376, Y= 89, Z= -62
[2024-03-21 12:51:55] [world] The Player <PenguinBoi> has extracted 21 of IRON_INGOT from a Furnace that's located at X= -376, Y= 88, Z= -62
[2024-03-21 12:52:14] [world] The Player <PenguinBoi> has extracted 1 of IRON_INGOT from a Furnace that's located at X= -376, Y= 89, Z= -61
[2024-03-21 13:35:43] [world] The Player <hi_> has extracted 1 of GOLD_INGOT from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-21 13:35:48] [world] The Player <hi_> has extracted 1 of GOLD_INGOT from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-21 13:42:12] [world] The Player <hi_> has extracted 6 of GOLD_INGOT from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-21 13:55:41] [world] The Player <qwerty> has extracted 10 of GOLD_INGOT from a Furnace that's located at X= -666, Y= 98, Z= -783
[2024-03-21 13:55:46] [world] The Player <qwerty> has extracted 2 of COOKED_CHICKEN from a Furnace that's located at X= -666, Y= 97, Z= -783
[2024-03-21 14:03:48] [world] The Player <character> has extracted 2 of GLASS from a Furnace that's located at X= -377, Y= 88, Z= -62
[2024-03-21 19:36:01] [world] The Player <character> has extracted 6 of GLASS from a Furnace that's located at X= -377, Y= 88, Z= -62
[2024-03-21 19:41:28] [world] The Player <Dave_TheCoolGuy> has extracted 24 of IRON_INGOT from a Furnace that's located at X= -689, Y= 71, Z= 306
[2024-03-21 19:41:31] [world] The Player <hi_> has extracted 4 of GOLD_INGOT from a Furnace that's located at X= -1354, Y= 63, Z= -264
[2024-03-21 19:41:36] [world] The Player <NezukoChan> has extracted 64 of STONE from a Furnace that's located at X= -10167, Y= 64, Z= 4118
