[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 96, Y= 45, Z= -89
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 65, Y= 40, Z= -87
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 66, Y= 40, Z= -89
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 97, Y= 38, Z= -90
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 80, Y= 62, Z= -83
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 96, Y= 54, Z= -88
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 106, Y= 41, Z= -98
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 78, Y= 56, Z= -120
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 76, Y= 52, Z= -114
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 81, Y= 44, Z= -69
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 67, Y= 39, Z= -82
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 76, Y= 41, Z= -93
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 64, Y= 44, Z= -91
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 70, Y= 47, Z= -115
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 76, Y= 49, Z= -111
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 108, Y= 36, Z= -102
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 80, Y= 56, Z= -79
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 64, Y= 41, Z= -95
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 91, Y= 46, Z= -105
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 80, Y= 45, Z= -89
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 95, Y= 53, Z= -72
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 94, Y= 49, Z= -73
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 70, Y= 35, Z= -90
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 69, Y= 50, Z= -108
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 92, Y= 60, Z= -103
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 96, Y= 22, Z= -111
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 74, Y= 42, Z= -79
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 61, Y= 42, Z= -107
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 75, Y= 49, Z= -113
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 97, Y= 43, Z= -99
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 96, Y= 68, Z= -114
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 89, Y= 46, Z= -74
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 109, Y= 33, Z= -78
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 72, Y= 41, Z= -116
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 105, Y= 35, Z= -102
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 110, Y= 29, Z= -107
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 86, Y= 40, Z= -66
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 106, Y= 33, Z= -92
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 113, Y= 32, Z= -80
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 107, Y= 32, Z= -76
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 87, Y= 70, Z= -76
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 83, Y= 55, Z= -115
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 92, Y= 67, Z= -78
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 68, Y= 29, Z= -69
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 55, Y= 38, Z= -78
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 96, Y= 42, Z= -88
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 60, Y= 43, Z= -73
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 61, Y= 38, Z= -75
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 56, Y= 36, Z= -86
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 82, Y= 77, Z= -72
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 84, Y= 76, Z= -76
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 87, Y= 67, Z= -78
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 66, Y= 35, Z= -83
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 96, Y= 48, Z= -85
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 58, Y= 40, Z= -64
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 79, Y= 46, Z= -85
[2024-03-28 16:39:16] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 64, Y= 39, Z= -108
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 62, Y= 37, Z= -68
