[2024-03-18 13:09:21] [world] The Player <Tester> has crafted 1 of REDSTONE TORCH ON at X= -558, Y= 88, Z= 270
[2024-03-18 13:11:45] [world] The Player <Tester> has crafted 2 of TRIPWIRE HOOK at X= -561, Y= 88, Z= 269
[2024-03-18 13:13:00] [world] The Player <Tester> has crafted 1 of WORKBENCH at X= -10240, Y= 64, Z= 4103
[2024-03-18 13:15:23] [world] The Player <Tester> has crafted 1 of DIODE at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:24] [world] The Player <Tester> has crafted 1 of DIODE at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:30] [world] The Player <Tester> has crafted 1 of DIODE at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:35] [world] The Player <Tester> has crafted 1 of DIODE at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:41] [world] The Player <Tester> has crafted 1 of REDSTONE TORCH ON at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:42] [world] The Player <Tester> has crafted 1 of REDSTONE TORCH ON at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:42] [world] The Player <Tester> has crafted 1 of REDSTONE TORCH ON at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:42] [world] The Player <Tester> has crafted 1 of REDSTONE TORCH ON at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:43] [world] The Player <Tester> has crafted 1 of REDSTONE TORCH ON at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:15:48] [world] The Player <Tester> has crafted 1 of DIODE at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:16:07] [world] The Player <Tester> has crafted 4 of STONE at X= -10245, Y= 64, Z= 4102
[2024-03-18 13:39:47] [world_the_end] The Player <Tester> has crafted 1 of STORAGE MINECART at X= -169, Y= 57, Z= 38
[2024-03-18 13:42:09] [world] The Player <Tester> has crafted 9 of EMERALD at X= -10174, Y= 64, Z= 4117
[2024-03-18 13:55:37] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -119, Y= 36, Z= -104
[2024-03-18 13:55:37] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -119, Y= 36, Z= -104
[2024-03-18 13:55:37] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -119, Y= 36, Z= -104
[2024-03-18 13:55:38] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -119, Y= 36, Z= -104
[2024-03-18 13:55:38] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -119, Y= 36, Z= -104
[2024-03-18 13:55:38] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -119, Y= 36, Z= -104
[2024-03-18 13:55:38] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -119, Y= 36, Z= -104
[2024-03-18 13:55:38] [world_nether] The Player <Brycethelegend> has crafted 1 of QUARTZ BLOCK at X= -119, Y= 36, Z= -104
[2024-03-18 13:56:24] [world] The Player <I_am_amazing> has crafted 4 of WOOD at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:27] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:27] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:27] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:27] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:28] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:28] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:28] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:28] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:28] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:28] [world] The Player <I_am_amazing> has crafted 4 of STICK at X= -594, Y= 11, Z= 590
[2024-03-18 13:56:53] [world] The Player <I_am_amazing> has crafted 1 of IRON PICKAXE at X= -594, Y= 11, Z= 590
[2024-03-18 14:01:01] [world] The Player <Mudkips_Rule> has crafted 1 of BREWING STAND ITEM at X= -1355, Y= 63, Z= -265
[2024-03-18 14:01:58] [world] The Player <I_am_amazing> has crafted 1 of IRON PICKAXE at X= -594, Y= 11, Z= 589
[2024-03-18 14:03:31] [world] The Player <character> has crafted 1 of FURNACE at X= -735, Y= 35, Z= 172
[2024-03-18 14:03:32] [world] The Player <character> has crafted 1 of FURNACE at X= -735, Y= 35, Z= 172
[2024-03-18 14:04:39] [world] The Player <sharky> has crafted 1 of TNT at X= -494, Y= 72, Z= -501
[2024-03-18 14:04:39] [world] The Player <sharky> has crafted 1 of TNT at X= -494, Y= 72, Z= -501
[2024-03-18 14:04:40] [world] The Player <sharky> has crafted 1 of TNT at X= -494, Y= 72, Z= -501
[2024-03-18 14:04:47] [world] The Player <sharky> has crafted 1 of TNT at X= -494, Y= 72, Z= -501
[2024-03-18 14:09:02] [world] The Player <sharky> has crafted 1 of DIAMOND CHESTPLATE at X= -494, Y= 72, Z= -499
[2024-03-18 14:10:54] [world] The Player <Dave_TheCoolguy_> has crafted 4 of STICK at X= -583, Y= 68, Z= 257
[2024-03-18 14:10:54] [world] The Player <Dave_TheCoolguy_> has crafted 4 of STICK at X= -583, Y= 68, Z= 257
[2024-03-18 14:10:54] [world] The Player <Dave_TheCoolguy_> has crafted 4 of STICK at X= -583, Y= 68, Z= 257
[2024-03-18 14:11:45] [world] The Player <Dave_TheCoolguy_> has crafted 1 of WORKBENCH at X= -625, Y= 68, Z= 246
[2024-03-18 14:11:58] [world] The Player <Dave_TheCoolguy_> has crafted 1 of DIAMOND SWORD at X= -625, Y= 68, Z= 246
[2024-03-18 14:12:34] [world] The Player <MrBlob2U> has crafted 4 of STICK at X= -613, Y= 47, Z= 205
[2024-03-18 14:13:06] [world] The Player <MrBlob2U> has crafted 1 of DIAMOND SWORD at X= -613, Y= 47, Z= 205
[2024-03-18 14:14:36] [world] The Player <WienerDogFace> has crafted 1 of WORKBENCH at X= -585, Y= 68, Z= 306
[2024-03-18 14:14:47] [world] The Player <MrBlob2U> has crafted 1 of DIAMOND PICKAXE at X= -614, Y= 47, Z= 205
[2024-03-18 14:16:32] [world] The Player <Brycethelegend> has crafted 3 of INK SACK at X= -621, Y= 68, Z= 241
[2024-03-18 14:16:33] [world] The Player <Brycethelegend> has crafted 3 of INK SACK at X= -621, Y= 68, Z= 241
[2024-03-18 14:16:33] [world] The Player <Brycethelegend> has crafted 3 of INK SACK at X= -621, Y= 68, Z= 241
[2024-03-18 14:16:33] [world] The Player <Brycethelegend> has crafted 3 of INK SACK at X= -621, Y= 68, Z= 241
[2024-03-18 14:16:33] [world] The Player <Brycethelegend> has crafted 3 of INK SACK at X= -621, Y= 68, Z= 241
[2024-03-18 14:19:44] [world] The Player <character> has crafted 1 of DIAMOND SWORD at X= -733, Y= 35, Z= 172
[2024-03-18 14:20:01] [world] The Player <character> has crafted 1 of DIAMOND CHESTPLATE at X= -733, Y= 35, Z= 172
[2024-03-18 14:21:35] [world] The Player <VeerIsKKK> has crafted 1 of GOLD INGOT at X= 509, Y= 104, Z= 2247
[2024-03-18 14:22:23] [world] The Player <sharky> has crafted 1 of DIAMOND SPADE at X= -493, Y= 72, Z= -499
[2024-03-18 14:24:16] [world] The Player <qwerty> has crafted 1 of BUCKET at X= -495, Y= 72, Z= -500
[2024-03-18 14:25:54] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:54] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:54] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:54] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:55] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:55] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:55] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:56] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:56] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:56] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:56] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:25:57] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -688, Y= 71, Z= 307
[2024-03-18 14:26:15] [world] The Player <Tester> has crafted 4 of STICK at X= -10123, Y= 23, Z= 4105
[2024-03-18 14:26:15] [world] The Player <Tester> has crafted 4 of STICK at X= -10123, Y= 23, Z= 4105
[2024-03-18 14:26:16] [world] The Player <Tester> has crafted 4 of STICK at X= -10123, Y= 23, Z= 4105
[2024-03-18 14:26:16] [world] The Player <Tester> has crafted 4 of STICK at X= -10123, Y= 23, Z= 4105
[2024-03-18 14:26:22] [world] The Player <Tester> has crafted 4 of TORCH at X= -10123, Y= 23, Z= 4105
[2024-03-18 14:27:30] [world] The Player <proman50> has crafted 4 of TORCH at X= -743, Y= 46, Z= 324
[2024-03-18 14:27:35] [world] The Player <WienerDogFace> has crafted 4 of STICK at X= -248, Y= 67, Z= 1075
[2024-03-18 14:28:21] [world] The Player <WienerDogFace> has crafted 1 of BOW at X= -248, Y= 67, Z= 1075
[2024-03-18 14:29:22] [world] The Player <proman50> has crafted 1 of STONE PICKAXE at X= -745, Y= 46, Z= 324
[2024-03-18 14:29:23] [world] The Player <sharky> has crafted 1 of FLINT AND STEEL at X= -494, Y= 72, Z= -501
[2024-03-18 14:32:03] [world] The Player <MonkeyTrainer> has crafted 1 of IRON PICKAXE at X= -590, Y= 56, Z= 322
[2024-03-18 14:32:18] [world] The Player <Dave_TheCoolguy_> has crafted 1 of STONE PICKAXE at X= -687, Y= 70, Z= 304
[2024-03-18 14:34:39] [world] The Player <Dave_TheCoolguy_> has crafted 1 of STONE AXE at X= -687, Y= 71, Z= 305
[2024-03-18 14:35:13] [world] The Player <MrBlob2U> has crafted 4 of STICK at X= -614, Y= 47, Z= 206
[2024-03-18 14:35:19] [world] The Player <MrBlob2U> has crafted 3 of SIGN at X= -614, Y= 47, Z= 206
[2024-03-18 14:36:26] [world] The Player <proman50> has crafted 4 of STICK at X= -688, Y= 69, Z= 235
[2024-03-18 14:37:00] [world] The Player <proman50> has crafted 1 of STONE PICKAXE at X= -708, Y= 64, Z= 238
[2024-03-18 14:37:11] [world] The Player <proman50> has crafted 1 of STONE PICKAXE at X= -708, Y= 64, Z= 238
[2024-03-18 14:37:15] [world] The Player <MrBlob2U> has crafted 6 of STEP at X= -614, Y= 47, Z= 206
[2024-03-18 14:38:42] [world] The Player <The_Amazing_Yao> has crafted 4 of STICK at X= 530, Y= 45, Z= 2256
[2024-03-18 14:38:52] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 530, Y= 45, Z= 2256
[2024-03-18 14:38:53] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 530, Y= 45, Z= 2256
[2024-03-18 14:38:53] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 530, Y= 45, Z= 2256
[2024-03-18 14:38:53] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 530, Y= 45, Z= 2256
[2024-03-18 14:40:16] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:17] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:17] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:17] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:17] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:17] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:18] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:18] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:18] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:18] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:18] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:19] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:19] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:20] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:20] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:21] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:21] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -689, Y= 71, Z= 304
[2024-03-18 14:40:34] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD STAIRS at X= -689, Y= 71, Z= 304
[2024-03-18 14:41:00] [world] The Player <VeerIsKKK> has crafted 1 of BREWING STAND ITEM at X= 510, Y= 104, Z= 2246
[2024-03-18 14:41:03] [world] The Player <Dave_TheCoolguy_> has crafted 4 of COBBLESTONE STAIRS at X= -688, Y= 71, Z= 304
[2024-03-18 14:41:32] [world] The Player <VeerIsKKK> has crafted 2 of BLAZE POWDER at X= 510, Y= 104, Z= 2248
[2024-03-18 14:41:33] [world] The Player <VeerIsKKK> has crafted 2 of BLAZE POWDER at X= 510, Y= 104, Z= 2248
[2024-03-18 14:41:33] [world] The Player <VeerIsKKK> has crafted 2 of BLAZE POWDER at X= 510, Y= 104, Z= 2248
[2024-03-18 14:41:33] [world] The Player <VeerIsKKK> has crafted 2 of BLAZE POWDER at X= 510, Y= 104, Z= 2248
[2024-03-18 14:44:09] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:09] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:09] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:10] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:10] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:10] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:10] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:11] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:11] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:11] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:11] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:11] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
[2024-03-18 14:44:12] [world] The Player <Dave_TheCoolguy_> has crafted 4 of WOOD at X= -690, Y= 75, Z= 305
