[2024-03-28 18:53:06] [world] The Player <xcpc> has crafted 3 of CARPET at X= -308, Y= 70, Z= 275
[2024-03-28 18:53:49] [world] The Player <xcpc> has crafted 1 of INK SACK at X= -303, Y= 70, Z= 276
[2024-03-28 20:23:20] [world] The Player <BTC> has crafted 4 of WOOD at X= -230, Y= 71, Z= 153
[2024-03-28 20:23:31] [world] The Player <BTC> has crafted 1 of WORKBENCH at X= -230, Y= 71, Z= 153
[2024-03-28 20:23:31] [world] The Player <BTC> has crafted 4 of STICK at X= -230, Y= 71, Z= 153
[2024-03-28 20:23:32] [world] The Player <BTC> has crafted 4 of STICK at X= -230, Y= 71, Z= 153
[2024-03-28 20:23:35] [world] The Player <BTC> has crafted 4 of STICK at X= -230, Y= 71, Z= 153
[2024-03-28 20:23:37] [world] The Player <BTC> has crafted 4 of STICK at X= -230, Y= 71, Z= 153
[2024-03-28 20:23:52] [world] The Player <BTC> has crafted 1 of FURNACE at X= -230, Y= 71, Z= 153
[2024-03-28 20:25:22] [world] The Player <BTC> has crafted 1 of BOAT at X= -165, Y= 66, Z= 128
[2024-03-28 20:52:10] [world] The Player <BTC> has crafted 1 of IRON PICKAXE at X= 733, Y= 11, Z= 90
[2024-03-28 21:00:42] [world] The Player <BTC> has crafted 1 of DIAMOND PICKAXE at X= 621, Y= 9, Z= 149
[2024-03-28 23:09:55] [world] The Player <xcpc> has crafted 4 of STICK at X= -308, Y= 70, Z= 275
[2024-03-28 23:09:59] [world] The Player <xcpc> has crafted 1 of IRON AXE at X= -308, Y= 70, Z= 275
[2024-03-28 23:13:25] [world] The Player <xcpc> has crafted 1 of SHEARS at X= -308, Y= 70, Z= 275
[2024-03-28 23:21:15] [world] The Player <xcpc> has crafted 3 of SIGN at X= -307, Y= 70, Z= 275
[2024-03-28 23:22:54] [world] The Player <xcpc> has crafted 4 of STICK at X= -314, Y= 64, Z= 274
[2024-03-28 23:22:58] [world] The Player <xcpc> has crafted 4 of WOOD at X= -314, Y= 64, Z= 274
[2024-03-28 23:23:00] [world] The Player <xcpc> has crafted 1 of WORKBENCH at X= -314, Y= 64, Z= 274
[2024-03-28 23:23:10] [world] The Player <xcpc> has crafted 3 of LADDER at X= -313, Y= 64, Z= 274
[2024-03-29 00:15:10] [world] The Player <BTC> has crafted 4 of WOOD at X= -1003, Y= 64, Z= 591
[2024-03-29 00:15:18] [world] The Player <BTC> has crafted 1 of WORKBENCH at X= -1003, Y= 64, Z= 591
[2024-03-29 00:15:18] [world] The Player <BTC> has crafted 4 of STICK at X= -1003, Y= 64, Z= 591
[2024-03-29 00:24:00] [world] The Player <BTC> has crafted 1 of WORKBENCH at X= -1761, Y= 62, Z= 536
[2024-03-29 00:24:08] [world] The Player <BTC> has crafted 1 of BOAT at X= -1762, Y= 63, Z= 536
