[2024-03-19 14:42:00] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 579, Y= 28, Z= 2231
[2024-03-19 14:42:01] [world] The Player <The_Amazing_Yao> has crafted 4 of TORCH at X= 579, Y= 28, Z= 2231
[2024-03-19 14:57:44] [world] The Player <WienerDogFace> has crafted 1 of WORKBENCH at X= -890, Y= 63, Z= 321
[2024-03-19 14:57:54] [world] The Player <WienerDogFace> has crafted 1 of DIAMOND HELMET at X= -891, Y= 63, Z= 321
[2024-03-19 18:41:30] [world] The Player <Heinrich_Himmler> has crafted 1 of MUSHROOM SOUP at X= -627, Y= 73, Z= 317
[2024-03-19 19:27:23] [world_nether] The Player <Heinrich_Himmler> has crafted 1 of GOLD INGOT at X= 12502, Y= 128, Z= -1
[2024-03-19 19:27:23] [world_nether] The Player <Heinrich_Himmler> has crafted 1 of GOLD INGOT at X= 12502, Y= 128, Z= -1
[2024-03-19 19:27:23] [world_nether] The Player <Heinrich_Himmler> has crafted 1 of GOLD INGOT at X= 12502, Y= 128, Z= -1
[2024-03-19 19:27:44] [world_nether] The Player <Heinrich_Himmler> has crafted 1 of GOLD BOOTS at X= 12502, Y= 128, Z= -1
[2024-03-19 19:28:24] [world_nether] The Player <Heinrich_Himmler> has crafted 1 of IRON HELMET at X= 12500, Y= 128, Z= -1
[2024-03-19 19:29:12] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of INK SACK at X= 12497, Y= 128, Z= 2
[2024-03-19 19:29:12] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of INK SACK at X= 12497, Y= 128, Z= 2
[2024-03-19 19:29:13] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of INK SACK at X= 12497, Y= 128, Z= 2
[2024-03-19 19:29:13] [world_nether] The Player <Heinrich_Himmler> has crafted 3 of INK SACK at X= 12497, Y= 128, Z= 2
[2024-03-19 19:31:42] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12502, Y= 128, Z= 1
[2024-03-19 19:31:43] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12502, Y= 128, Z= 1
[2024-03-19 19:31:50] [world_nether] The Player <Heinrich_Himmler> has crafted 1 of CHEST at X= 12503, Y= 128, Z= 1
[2024-03-19 19:37:32] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12499, Y= 128, Z= 3
[2024-03-19 19:37:32] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12499, Y= 128, Z= 3
[2024-03-19 19:37:40] [world_nether] The Player <Heinrich_Himmler> has crafted 1 of BOAT at X= 12502, Y= 128, Z= 0
[2024-03-19 19:42:40] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12504, Y= 128, Z= 2
[2024-03-19 19:42:40] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12504, Y= 128, Z= 2
[2024-03-19 19:42:40] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12504, Y= 128, Z= 2
[2024-03-19 19:42:40] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12504, Y= 128, Z= 2
[2024-03-19 19:42:41] [world_nether] The Player <Heinrich_Himmler> has crafted 4 of WOOD at X= 12504, Y= 128, Z= 2
[2024-03-19 19:42:47] [world_nether] The Player <Heinrich_Himmler> has crafted 1 of CHEST at X= 12504, Y= 128, Z= 2
[2024-03-19 20:11:11] [world] The Player <NezukoChan> has crafted 1 of CHEST at X= -10173, Y= 64, Z= 4118
[2024-03-19 20:11:38] [world] The Player <NezukoChan> has crafted 1 of CHEST at X= -10172, Y= 64, Z= 4119
[2024-03-19 20:21:23] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:22:14] [world] The Player <Mudkips_Rule> has crafted 2 of BLAZE POWDER at X= -1356, Y= 63, Z= -262
[2024-03-19 20:22:14] [world] The Player <Mudkips_Rule> has crafted 2 of BLAZE POWDER at X= -1356, Y= 63, Z= -262
[2024-03-19 20:23:56] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:23:56] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:23:56] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:23:57] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:23:57] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:23:57] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:23:57] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:23:57] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:23:57] [world] The Player <Mudkips_Rule> has crafted 3 of GLASS BOTTLE at X= -1356, Y= 63, Z= -265
[2024-03-19 20:25:21] [world] The Player <Mudkips_Rule> has crafted 3 of INK SACK at X= -1353, Y= 67, Z= -237
[2024-03-19 20:31:20] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:20] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:20] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:23] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:24] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:24] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:24] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:24] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:35] [world] The Player <Mudkips_Rule> has crafted 1 of GOLDEN CARROT at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:35] [world] The Player <Mudkips_Rule> has crafted 1 of GOLDEN CARROT at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:35] [world] The Player <Mudkips_Rule> has crafted 1 of GOLDEN CARROT at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:35] [world] The Player <Mudkips_Rule> has crafted 1 of GOLDEN CARROT at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:36] [world] The Player <Mudkips_Rule> has crafted 1 of GOLDEN CARROT at X= -1356, Y= 63, Z= -265
[2024-03-19 20:31:36] [world] The Player <Mudkips_Rule> has crafted 1 of GOLDEN CARROT at X= -1356, Y= 63, Z= -265
[2024-03-19 20:38:50] [world] The Player <Tester> has crafted 9 of DIAMOND at X= -10173, Y= 64, Z= 4118
[2024-03-19 20:42:25] [world] The Player <Mudkips_Rule> has crafted 2 of BLAZE POWDER at X= -1356, Y= 63, Z= -265
[2024-03-19 20:42:25] [world] The Player <Mudkips_Rule> has crafted 2 of BLAZE POWDER at X= -1356, Y= 63, Z= -265
[2024-03-19 20:48:07] [world] The Player <Tester> has crafted 2 of TRAP DOOR at X= -10182, Y= 60, Z= 4119
[2024-03-19 23:14:12] [world] The Player <NezukoChan> has crafted 1 of BREWING STAND ITEM at X= -10172, Y= 64, Z= 4120
[2024-03-19 23:17:03] [world] The Player <NezukoChan> has crafted 3 of GLASS BOTTLE at X= -10169, Y= 64, Z= 4117
[2024-03-19 23:19:36] [world] The Player <NezukoChan> has crafted 2 of BLAZE POWDER at X= -10176, Y= 63, Z= 4116
[2024-03-19 23:27:49] [world] The Player <Mudkips_Rule> has crafted 1 of GOLD BLOCK at X= -1353, Y= 67, Z= -237
[2024-03-19 23:27:49] [world] The Player <Mudkips_Rule> has crafted 1 of GOLD BLOCK at X= -1353, Y= 67, Z= -237
[2024-03-19 23:27:49] [world] The Player <Mudkips_Rule> has crafted 1 of GOLD BLOCK at X= -1353, Y= 67, Z= -237
[2024-03-19 23:27:59] [world] The Player <Mudkips_Rule> has crafted 1 of GOLD INGOT at X= -1353, Y= 67, Z= -237
[2024-03-19 23:27:59] [world] The Player <Mudkips_Rule> has crafted 1 of GOLD INGOT at X= -1353, Y= 67, Z= -237
[2024-03-19 23:28:10] [world] The Player <Mudkips_Rule> has crafted 9 of GOLD NUGGET at X= -1349, Y= 67, Z= -255
[2024-03-19 23:32:22] [world] The Player <NezukoChan> has crafted 1 of SUGAR at X= -10173, Y= 63, Z= 4111
[2024-03-19 23:32:43] [world] The Player <NezukoChan> has crafted 1 of FERMENTED SPIDER EYE at X= -10180, Y= 63, Z= 4116
[2024-03-19 23:32:46] [world] The Player <NezukoChan> has crafted 1 of FERMENTED SPIDER EYE at X= -10180, Y= 63, Z= 4116
[2024-03-19 23:32:46] [world] The Player <NezukoChan> has crafted 1 of FERMENTED SPIDER EYE at X= -10180, Y= 63, Z= 4116
[2024-03-19 23:38:05] [world] The Player <NezukoChan> has crafted 3 of GLASS BOTTLE at X= -10168, Y= 64, Z= 4117
[2024-03-20 00:43:23] [world] The Player <astronomy> has crafted 4 of WOOD at X= -173, Y= 67, Z= 126
[2024-03-20 00:43:36] [world] The Player <astronomy> has crafted 4 of STICK at X= -173, Y= 67, Z= 126
[2024-03-20 00:43:37] [world] The Player <astronomy> has crafted 4 of STICK at X= -173, Y= 67, Z= 126
[2024-03-20 00:43:58] [world] The Player <astronomy> has crafted 1 of DIAMOND AXE at X= -174, Y= 66, Z= 126
