[2024-03-18 11:21:43] [world] The Player <BigDickRandy> has picked 2 of SANDSTONE at X= -798, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:21:45] [world_nether] The Player <Mudkips_Rule> has picked 2 of BLAZE_ROD at X= -149, Y= 69, Z= -96 that had [] enchantment(s) |  
[2024-03-18 11:21:48] [world] The Player <BigDickRandy> has picked 37 of COBBLESTONE at X= -799, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:21:55] [world_nether] The Player <Mudkips_Rule> has picked 3 of BLAZE_ROD at X= -144, Y= 70, Z= -90 that had [] enchantment(s) |  
[2024-03-18 11:21:56] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -800, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:21:56] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -801, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:21:57] [world] The Player <BigDickRandy> has picked 2 of COBBLESTONE at X= -800, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:21:58] [world] The Player <BigDickRandy> has picked 1 of COBBLESTONE at X= -802, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:00] [world] The Player <BigDickRandy> has picked 1 of DIRT at X= -803, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:00] [world] The Player <BigDickRandy> has picked 2 of COBBLESTONE at X= -803, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:03] [world] The Player <BigDickRandy> has picked 6 of COBBLESTONE at X= -806, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:06] [world_nether] The Player <qwerty> has picked 1 of BLAZE_ROD at X= -135, Y= 70, Z= -84 that had [] enchantment(s) |  
[2024-03-18 11:22:07] [world] The Player <BigDickRandy> has picked 9 of COBBLESTONE at X= -810, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:08] [world] The Player <BigDickRandy> has picked 2 of COBBLESTONE at X= -811, Y= 11, Z= 347 that had [] enchantment(s) |  
[2024-03-18 11:22:09] [world] The Player <BigDickRandy> has picked 2 of COBBLESTONE at X= -811, Y= 11, Z= 347 that had [] enchantment(s) |  
