[2024-03-27 12:20:59] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10151, Y= 63, Z= 4085
[2024-03-27 12:20:59] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10151, Y= 63, Z= 4087
[2024-03-27 12:21:04] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10152, Y= 64, Z= 4088
[2024-03-27 12:21:04] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10153, Y= 64, Z= 4089
[2024-03-27 12:21:04] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10154, Y= 64, Z= 4089
[2024-03-27 12:21:04] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10154, Y= 64, Z= 4090
[2024-03-27 12:21:04] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10155, Y= 64, Z= 4091
[2024-03-27 12:21:04] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10155, Y= 64, Z= 4092
[2024-03-27 12:21:05] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10155, Y= 64, Z= 4093
[2024-03-27 12:21:05] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10155, Y= 64, Z= 4094
[2024-03-27 12:21:23] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10176, Y= 64, Z= 4073
[2024-03-27 12:21:58] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10224, Y= 64, Z= 4047
[2024-03-27 12:22:43] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10240, Y= 64, Z= 4044
[2024-03-27 12:22:44] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10237, Y= 64, Z= 4048
[2024-03-27 12:22:46] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10229, Y= 64, Z= 4051
[2024-03-27 12:22:46] [world] The Player <Tester> has broke SUGAR_CANE_BLOCK at X= -10228, Y= 64, Z= 4051
