[2024-03-24 22:50:25] [world] The Player <GolemDaWanderer> has broke ENDER_CHEST at X= -10295, Y= 35, Z= 4028
[2024-03-24 22:51:21] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10247, Y= 64, Z= 4097
[2024-03-24 22:51:21] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10247, Y= 63, Z= 4097
[2024-03-24 22:51:21] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10247, Y= 63, Z= 4098
[2024-03-24 22:51:21] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10248, Y= 63, Z= 4098
[2024-03-24 22:51:21] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10248, Y= 62, Z= 4098
[2024-03-24 22:51:21] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10247, Y= 65, Z= 4097
[2024-03-24 22:51:21] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10249, Y= 63, Z= 4098
[2024-03-24 22:51:22] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10248, Y= 63, Z= 4097
[2024-03-24 22:52:16] [world] The Player <GolemDaWanderer> has broke QUARTZ_BLOCK at X= -10251, Y= 63, Z= 4102
[2024-03-24 22:52:16] [world] The Player <GolemDaWanderer> has broke DIODE_BLOCK_OFF at X= -10251, Y= 61, Z= 4102
[2024-03-24 22:52:32] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_ON at X= -10249, Y= 61, Z= 4099
[2024-03-24 22:52:36] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_OFF at X= -10248, Y= 62, Z= 4099
[2024-03-24 22:52:44] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_OFF at X= -10248, Y= 62, Z= 4099
[2024-03-24 22:52:48] [world] The Player <GolemDaWanderer> has broke REDSTONE_TORCH_OFF at X= -10247, Y= 62, Z= 4099
