[2024-03-31 13:08:09] [world] The Player <BTC> has broke DIRT at X= -3130, Y= 61, Z= 832
[2024-03-31 13:08:10] [world] The Player <BTC> has broke DIRT at X= -3130, Y= 60, Z= 832
[2024-03-31 13:08:11] [world] The Player <BTC> has broke STONE at X= -3130, Y= 59, Z= 832
[2024-03-31 13:08:16] [world] The Player <BTC> has broke STONE at X= -3130, Y= 58, Z= 832
[2024-03-31 13:08:17] [world] The Player <BTC> has broke STONE at X= -3130, Y= 57, Z= 832
[2024-03-31 13:08:18] [world] The Player <BTC> has broke STONE at X= -3130, Y= 56, Z= 832
[2024-03-31 13:08:18] [world] The Player <BTC> has broke STONE at X= -3130, Y= 55, Z= 832
[2024-03-31 13:08:19] [world] The Player <BTC> has broke STONE at X= -3130, Y= 54, Z= 832
[2024-03-31 13:08:19] [world] The Player <BTC> has broke STONE at X= -3130, Y= 53, Z= 832
[2024-03-31 13:08:20] [world] The Player <BTC> has broke STONE at X= -3130, Y= 52, Z= 832
[2024-03-31 13:08:20] [world] The Player <BTC> has broke STONE at X= -3130, Y= 51, Z= 832
[2024-03-31 13:08:21] [world] The Player <BTC> has broke STONE at X= -3130, Y= 50, Z= 832
[2024-03-31 13:08:21] [world] The Player <BTC> has broke STONE at X= -3130, Y= 49, Z= 832
[2024-03-31 13:08:22] [world] The Player <BTC> has broke STONE at X= -3130, Y= 48, Z= 832
[2024-03-31 13:08:22] [world] The Player <BTC> has broke STONE at X= -3130, Y= 47, Z= 832
[2024-03-31 13:08:23] [world] The Player <BTC> has broke STONE at X= -3130, Y= 46, Z= 832
[2024-03-31 13:08:24] [world] The Player <BTC> has broke STONE at X= -3130, Y= 45, Z= 832
[2024-03-31 13:08:24] [world] The Player <BTC> has broke STONE at X= -3130, Y= 44, Z= 832
[2024-03-31 13:08:28] [world] The Player <BTC> has broke STONE at X= -3130, Y= 43, Z= 832
[2024-03-31 13:08:29] [world] The Player <BTC> has broke STONE at X= -3130, Y= 42, Z= 832
[2024-03-31 13:08:30] [world] The Player <BTC> has broke STONE at X= -3130, Y= 41, Z= 832
[2024-03-31 13:08:31] [world] The Player <BTC> has broke STONE at X= -3129, Y= 42, Z= 832
[2024-03-31 13:08:32] [world] The Player <BTC> has broke STONE at X= -3129, Y= 41, Z= 832
[2024-03-31 13:08:33] [world] The Player <BTC> has broke STONE at X= -3130, Y= 42, Z= 831
[2024-03-31 13:08:35] [world] The Player <BTC> has broke STONE at X= -3130, Y= 41, Z= 831
[2024-03-31 13:08:36] [world] The Player <BTC> has broke STONE at X= -3131, Y= 42, Z= 832
[2024-03-31 13:08:37] [world] The Player <BTC> has broke STONE at X= -3131, Y= 41, Z= 832
[2024-03-31 13:08:39] [world] The Player <BTC> has broke STONE at X= -3130, Y= 42, Z= 833
[2024-03-31 13:08:40] [world] The Player <BTC> has broke STONE at X= -3130, Y= 41, Z= 833
[2024-03-31 13:08:41] [world] The Player <BTC> has broke STONE at X= -3129, Y= 42, Z= 833
[2024-03-31 13:08:41] [world] The Player <BTC> has broke STONE at X= -3129, Y= 41, Z= 833
[2024-03-31 13:08:43] [world] The Player <BTC> has broke STONE at X= -3131, Y= 42, Z= 833
[2024-03-31 13:08:44] [world] The Player <BTC> has broke STONE at X= -3131, Y= 41, Z= 833
[2024-03-31 13:08:46] [world] The Player <BTC> has broke STONE at X= -3131, Y= 42, Z= 831
[2024-03-31 13:08:47] [world] The Player <BTC> has broke STONE at X= -3131, Y= 41, Z= 831
[2024-03-31 13:08:48] [world] The Player <BTC> has broke STONE at X= -3129, Y= 41, Z= 831
[2024-03-31 13:08:49] [world] The Player <BTC> has broke STONE at X= -3129, Y= 42, Z= 831
[2024-03-31 13:09:40] [world] The Player <BTC> has broke STONE at X= -3128, Y= 42, Z= 833
[2024-03-31 13:09:41] [world] The Player <BTC> has broke STONE at X= -3128, Y= 42, Z= 832
[2024-03-31 13:09:41] [world] The Player <BTC> has broke STONE at X= -3128, Y= 41, Z= 832
[2024-03-31 13:09:42] [world] The Player <BTC> has broke STONE at X= -3128, Y= 41, Z= 831
[2024-03-31 13:09:42] [world] The Player <BTC> has broke STONE at X= -3128, Y= 42, Z= 831
[2024-03-31 13:09:43] [world] The Player <BTC> has broke STONE at X= -3128, Y= 41, Z= 833
[2024-03-31 13:09:43] [world] The Player <BTC> has broke STONE at X= -3127, Y= 41, Z= 833
[2024-03-31 13:09:44] [world] The Player <BTC> has broke STONE at X= -3126, Y= 41, Z= 833
[2024-03-31 13:09:45] [world] The Player <BTC> has broke STONE at X= -3127, Y= 42, Z= 833
[2024-03-31 13:09:45] [world] The Player <BTC> has broke STONE at X= -3126, Y= 41, Z= 832
[2024-03-31 13:09:46] [world] The Player <BTC> has broke STONE at X= -3127, Y= 42, Z= 832
[2024-03-31 13:09:46] [world] The Player <BTC> has broke STONE at X= -3127, Y= 41, Z= 832
[2024-03-31 13:09:47] [world] The Player <BTC> has broke STONE at X= -3126, Y= 42, Z= 832
[2024-03-31 13:09:48] [world] The Player <BTC> has broke STONE at X= -3126, Y= 42, Z= 833
[2024-03-31 13:09:49] [world] The Player <BTC> has broke STONE at X= -3127, Y= 42, Z= 831
[2024-03-31 13:09:49] [world] The Player <BTC> has broke STONE at X= -3126, Y= 42, Z= 831
[2024-03-31 13:09:50] [world] The Player <BTC> has broke STONE at X= -3127, Y= 41, Z= 831
[2024-03-31 13:09:51] [world] The Player <BTC> has broke STONE at X= -3126, Y= 41, Z= 831
[2024-03-31 13:15:43] [world] The Player <BTC> has broke LONG_GRASS at X= -713, Y= 64, Z= 208
[2024-03-31 13:16:13] [world] The Player <BTC> has broke LONG_GRASS at X= -698, Y= 64, Z= 182
[2024-03-31 13:17:16] [world] The Player <BTC> has broke SANDSTONE at X= -709, Y= 52, Z= 91
[2024-03-31 13:17:16] [world] The Player <BTC> has broke TNT at X= -709, Y= 51, Z= 91
[2024-03-31 13:17:17] [world] The Player <BTC> has broke SANDSTONE at X= -709, Y= 50, Z= 91
[2024-03-31 13:17:17] [world] The Player <BTC> has broke STONE at X= -709, Y= 49, Z= 91
[2024-03-31 13:17:18] [world] The Player <BTC> has broke STONE at X= -709, Y= 48, Z= 91
[2024-03-31 13:17:19] [world] The Player <BTC> has broke SANDSTONE at X= -710, Y= 50, Z= 91
[2024-03-31 13:17:21] [world] The Player <BTC> has broke STONE at X= -710, Y= 49, Z= 91
[2024-03-31 13:17:22] [world] The Player <BTC> has broke SANDSTONE at X= -711, Y= 50, Z= 91
[2024-03-31 13:17:23] [world] The Player <BTC> has broke STONE at X= -711, Y= 49, Z= 91
[2024-03-31 13:17:31] [world] The Player <BTC> has broke SANDSTONE at X= -711, Y= 50, Z= 92
[2024-03-31 13:17:32] [world] The Player <BTC> has broke SANDSTONE at X= -710, Y= 49, Z= 91
[2024-03-31 13:17:32] [world] The Player <BTC> has broke SANDSTONE at X= -711, Y= 50, Z= 90
[2024-03-31 13:17:33] [world] The Player <BTC> has broke STONE at X= -711, Y= 49, Z= 90
[2024-03-31 13:17:34] [world] The Player <BTC> has broke STONE at X= -711, Y= 49, Z= 89
