[2024-03-28 22:41:17] [world] The Player <BTC> has died with 18 level(s) at X= -580, Y= 70, Z= 317 | caused by Player | NezukoChan
[2024-03-28 22:42:41] [world] The Player <NezukoChan> has died with 43 level(s) at X= -595, Y= 68, Z= 332 | caused by FIRE_TICK | 
[2024-03-28 22:43:02] [world] The Player <NezukoChan> has died with 43 level(s) at X= -583, Y= 68, Z= 331 | caused by Player | BTC
[2024-03-28 22:43:29] [world] The Player <NezukoChan> has died with 43 level(s) at X= -581, Y= 69, Z= 327 | caused by Player | BTC
[2024-03-28 22:43:55] [world] The Player <NezukoChan> has died with 43 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | BTC
[2024-03-28 22:44:04] [world] The Player <NezukoChan> has died with 43 level(s) at X= -573, Y= 68, Z= 315 | caused by Player | BTC
[2024-03-28 22:45:27] [world] The Player <BTC> has died with 18 level(s) at X= -581, Y= 69, Z= 323 | caused by Player | NezukoChan
[2024-03-28 22:45:54] [world] The Player <NezukoChan> has died with 43 level(s) at X= -570, Y= 69, Z= 317 | caused by Player | BTC
[2024-03-28 22:45:54] [world] The Player <BTC> has died with 18 level(s) at X= -557, Y= 65, Z= 311 | caused by Player | NezukoChan
[2024-03-28 22:46:06] [world] The Player <BTC> has died with 18 level(s) at X= -573, Y= 69, Z= 318 | caused by Player | NezukoChan
[2024-03-28 22:46:10] [world] The Player <BTC> has died with 18 level(s) at X= -573, Y= 68, Z= 316 | caused by Player | GolemDaWanderer
[2024-03-28 22:50:31] [world] The Player <NezukoChan> has died with 43 level(s) at X= -556, Y= 26, Z= 336 | caused by FALL | 
[2024-03-28 22:52:59] [world] The Player <BTC> has died with 18 level(s) at X= -798, Y= 31, Z= 88 | caused by FALL | 
[2024-03-29 03:25:08] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10176, Y= 61, Z= 4112 | caused by SUFFOCATION | 
[2024-03-29 03:42:43] [world] The Player <BTC> has died with 15 level(s) at X= -3573, Y= 9, Z= 155 | caused by Player | GolemDaWanderer
[2024-03-29 03:44:42] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -3573, Y= 9, Z= 152 | caused by Player | BTC
[2024-03-29 03:48:25] [world] The Player <BTC> has died with 15 level(s) at X= -3556, Y= 6, Z= 237 | caused by LAVA | 
[2024-03-29 03:56:32] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -510, Y= 63, Z= 320 | caused by ENTITY_EXPLOSION | 
[2024-03-29 04:33:38] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -532, Y= 67, Z= 371 | caused by ENTITY_ATTACK | 
[2024-03-29 16:17:03] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10162, Y= 70, Z= 4352 | caused by ENTITY_ATTACK | 
[2024-03-29 17:52:50] [world] The Player <GolemDaWanderer> has died with 51 level(s) at X= -10140, Y= 59, Z= 4011 | caused by MAGIC | 
[2024-03-29 18:00:22] [world_the_end] The Player <NezukoChan> has died with 43 level(s) at X= 67, Y= 59, Z= 33 | caused by ENTITY_ATTACK | 
[2024-03-29 18:27:26] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10298, Y= 35, Z= 4027 | caused by Player | xcpc
[2024-03-29 18:27:46] [world] The Player <xcpc> has died with 28 level(s) at X= -10299, Y= 36, Z= 4024 | caused by Player | GolemDaWanderer
[2024-03-29 18:28:18] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10298, Y= 35, Z= 4025 | caused by Player | xcpc
[2024-03-29 18:28:31] [world] The Player <Tester> has died with 21863 level(s) at X= -10300, Y= 35, Z= 4028 | caused by MAGIC | 
[2024-03-29 18:28:43] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -10296, Y= 35, Z= 4029 | caused by VOID | 
[2024-03-29 18:29:20] [world] The Player <xcpc> has died with 28 level(s) at X= -10289, Y= 35, Z= 4028 | caused by Player | GolemDaWanderer
[2024-03-29 18:29:53] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= 1, Y= -177, Z= 1 | caused by VOID | 
[2024-03-29 18:42:23] [world] The Player <GolemDaWanderer> has died with 51 level(s) at X= -10289, Y= 35, Z= 4029 | caused by FALLING_BLOCK | 
[2024-03-29 23:42:06] [world] The Player <xcpc> has died with 20 level(s) at X= -685, Y= 68, Z= 67 | caused by FALL | 
[2024-03-30 00:00:27] [world_the_end] The Player <NezukoChan> has died with 12 level(s) at X= 59, Y= 57, Z= 89 | caused by Player | GolemDaWanderer
[2024-03-30 00:00:59] [world_the_end] The Player <GolemDaWanderer> has died with 51 level(s) at X= 49, Y= 57, Z= 90 | caused by ENTITY_ATTACK | 
[2024-03-30 00:01:44] [world_the_end] The Player <GolemDaWanderer> has died with 51 level(s) at X= 57, Y= 57, Z= 84 | caused by Player | NezukoChan
[2024-03-30 00:02:31] [world_the_end] The Player <GolemDaWanderer> has died with 51 level(s) at X= 80, Y= 57, Z= 78 | caused by Player | NezukoChan
[2024-03-30 00:03:37] [world_the_end] The Player <GolemDaWanderer> has died with 51 level(s) at X= 64, Y= 60, Z= 68 | caused by Player | NezukoChan
[2024-03-30 00:04:38] [world_the_end] The Player <GolemDaWanderer> has died with 51 level(s) at X= 61, Y= 59, Z= 66 | caused by Player | NezukoChan
[2024-03-30 00:04:55] [world_the_end] The Player <NezukoChan> has died with 12 level(s) at X= 60, Y= 59, Z= 65 | caused by Player | GolemDaWanderer
[2024-03-30 00:08:42] [world_the_end] The Player <GolemDaWanderer> has died with 51 level(s) at X= -37, Y= 59, Z= 14 | caused by ENTITY_ATTACK | 
