[2024-03-19 19:58:44] [world] The Player <NezukoChan> has died with 24 level(s) at X= 1, Y= -163, Z= 2 | caused by VOID | 
[2024-03-19 20:01:59] [world_nether] The Player <Mudkips_Rule> has died with 25 level(s) at X= -142, Y= 29, Z= -95 | caused by LAVA | 
[2024-03-19 20:19:18] [world] The Player <astronomy> has died with 0 level(s) at X= -580, Y= 69, Z= 306 | caused by Player | NezukoChan
[2024-03-19 20:19:56] [world] The Player <astronomy> has died with 0 level(s) at X= -570, Y= 69, Z= 309 | caused by Player | NezukoChan
[2024-03-19 20:21:26] [world_the_end] The Player <astronomy> has died with 0 level(s) at X= 100, Y= 21, Z= -5 | caused by FALL | 
[2024-03-19 20:25:09] [world] The Player <astronomy> has died with 0 level(s) at X= -555, Y= 68, Z= 268 | caused by Player | NezukoChan
[2024-03-19 20:30:53] [world] The Player <astronomy> has died with 0 level(s) at X= -562, Y= 59, Z= 296 | caused by Player | NezukoChan
[2024-03-19 20:37:10] [world] The Player <astronomy> has died with 0 level(s) at X= -563, Y= 69, Z= 280 | caused by Player | NezukoChan
[2024-03-19 20:39:20] [world_nether] The Player <astronomy> has died with 1 level(s) at X= -36, Y= 36, Z= 10 | caused by FALL | 
[2024-03-19 20:41:36] [world_the_end] The Player <astronomy> has died with 1 level(s) at X= 100, Y= 21, Z= -4 | caused by FALL | 
[2024-03-19 20:52:33] [world] The Player <astronomy> has died with 5 level(s) at X= -571, Y= 63, Z= 282 | caused by SUFFOCATION | 
[2024-03-19 22:23:54] [world] The Player <NezukoChan> has died with 24 level(s) at X= 1, Y= -176, Z= 1 | caused by VOID | 
[2024-03-19 22:31:46] [world] The Player <Tester> has died with 18 level(s) at X= -584, Y= 68, Z= 252 | caused by Player | Char
[2024-03-19 22:32:32] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -167, Y= 99, Z= 54 | caused by Player | Char
[2024-03-19 22:33:09] [world_the_end] The Player <NezukoChan> has died with 24 level(s) at X= -167, Y= -204, Z= 20 | caused by VOID | 
