[2024-03-18 14:18:12] [world] The Player <sharky> has died with 5 level(s) at X= -527, Y= 64, Z= 325 | caused by Player | Brycethelegend
[2024-03-18 14:18:19] [world_the_end] The Player <MonkeyTrainer> has died with 8 level(s) at X= 97, Y= -88, Z= -6 | caused by VOID | 
[2024-03-18 14:18:46] [world_nether] The Player <qwerty> has died with 29 level(s) at X= -134, Y= 68, Z= -90 | caused by FIRE_TICK | 
[2024-03-18 14:18:57] [world] The Player <MrBlob2U> has died with 27 level(s) at X= -500, Y= 10, Z= -441 | caused by LAVA | 
[2024-03-18 14:19:20] [world] The Player <somebody139> has died with 1 level(s) at X= -493, Y= 72, Z= -490 | caused by FALL | 
[2024-03-18 14:20:20] [world_the_end] The Player <MonkeyTrainer> has died with 8 level(s) at X= 100, Y= 21, Z= -4 | caused by FALL | 
[2024-03-18 14:20:34] [world] The Player <somebody139> has died with 1 level(s) at X= -503, Y= 9, Z= -443 | caused by LAVA | 
[2024-03-18 14:20:35] [world_the_end] The Player <MonkeyTrainer> has died with 8 level(s) at X= 100, Y= 50, Z= 0 | caused by SUFFOCATION | 
[2024-03-18 14:21:38] [world] The Player <Brycethelegend> has died with 24 level(s) at X= -455, Y= 6, Z= 313 | caused by FALL | 
[2024-03-18 14:21:43] [world_nether] The Player <qwerty> has died with 30 level(s) at X= -146, Y= 67, Z= -120 | caused by FIRE_TICK | 
[2024-03-18 14:21:56] [world] The Player <Brycethelegend> has died with 24 level(s) at X= -454, Y= 6, Z= 310 | caused by LAVA | 
[2024-03-18 14:22:32] [world] The Player <proman50> has died with 3 level(s) at X= -239, Y= 48, Z= 417 | caused by DROWNING | 
[2024-03-18 14:23:06] [world] The Player <Brycethelegend> has died with 24 level(s) at X= -452, Y= 10, Z= 314 | caused by FIRE_TICK | 
[2024-03-18 14:26:03] [world_the_end] The Player <VeerIsKKK> has died with 26 level(s) at X= -14, Y= 61, Z= -13 | caused by ENTITY_ATTACK | 
[2024-03-18 14:27:09] [world] The Player <character> has died with 19 level(s) at X= -458, Y= 69, Z= -475 | caused by FALL | 
[2024-03-18 14:28:21] [world] The Player <Biggie_Vinny> has died with 12 level(s) at X= -786, Y= 18, Z= 437 | caused by FIRE_TICK | 
[2024-03-18 14:29:00] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= -614, Y= 68, Z= 314 | caused by Player | Rip_Dogwater
[2024-03-18 14:30:05] [world] The Player <Dave_TheCoolguy_> has died with 5 level(s) at X= -703, Y= 63, Z= 280 | caused by DROWNING | 
[2024-03-18 14:30:59] [world_the_end] The Player <Biggie_Vinny> has died with 12 level(s) at X= 95, Y= 34, Z= -1 | caused by FALL | 
[2024-03-18 14:31:13] [world_the_end] The Player <Biggie_Vinny> has died with 12 level(s) at X= 90, Y= -124, Z= -14 | caused by VOID | 
[2024-03-18 14:32:48] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= -451, Y= 10, Z= 312 | caused by FIRE_TICK | 
[2024-03-18 14:33:30] [world_nether] The Player <Rip_Dogwater> has died with 75 level(s) at X= 31, Y= 24, Z= 65 | caused by LAVA | 
[2024-03-18 14:34:54] [world] The Player <Tester> has died with 17 level(s) at X= -429, Y= 12, Z= 1405 | caused by Player | WienerDogFace
[2024-03-18 14:35:25] [world] The Player <MonkeyTrainer> has died with 8 level(s) at X= -590, Y= 56, Z= 332 | caused by FALL | 
[2024-03-18 14:36:04] [world] The Player <qwerty> has died with 31 level(s) at X= -529, Y= 65, Z= 301 | caused by Player | VeerIsKKK
[2024-03-18 14:36:14] [world] The Player <Rip_Dogwater> has died with 75 level(s) at X= -10245, Y= 64, Z= 4093 | caused by FALL | 
[2024-03-18 14:36:25] [world] The Player <Tester> has died with 17 level(s) at X= -435, Y= 11, Z= 1418 | caused by Player | WienerDogFace
[2024-03-18 14:37:34] [world] The Player <WienerDogFace> has died with 16 level(s) at X= -433, Y= 12, Z= 1405 | caused by Player | Tester
[2024-03-18 14:38:32] [world] The Player <Tester> has died with 17 level(s) at X= -435, Y= 11, Z= 1417 | caused by Player | WienerDogFace
[2024-03-18 14:38:55] [world] The Player <VeerIsKKK> has died with 26 level(s) at X= 499, Y= 74, Z= 2250 | caused by FALL | 
[2024-03-18 14:39:21] [world] The Player <WienerDogFace> has died with 16 level(s) at X= -424, Y= 6, Z= 1405 | caused by Player | Tester
