[2024-03-28 00:07:13] [world_the_end] The Player <Tester> has died with 21863 level(s) at X= -11, Y= 59, Z= 0 | caused by FALL | 
[2024-03-28 00:07:21] [world] The Player <Tester> has died with 21863 level(s) at X= -575, Y= 68, Z= 317 | caused by Player | NezukoChan
[2024-03-28 00:07:30] [world] The Player <Tester> has died with 21863 level(s) at X= -568, Y= 69, Z= 316 | caused by Player | NezukoChan
[2024-03-28 00:07:35] [world] The Player <NezukoChan> has died with 42 level(s) at X= -569, Y= 69, Z= 316 | caused by Player | Tester
[2024-03-28 00:11:10] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -9, Y= 58, Z= -66 | caused by Player | Heinrich_Himmler
[2024-03-28 00:11:26] [world_the_end] The Player <Heinrich_Himmler> has died with 62 level(s) at X= 103, Y= -179, Z= 13 | caused by VOID | 
[2024-03-28 00:11:52] [world] The Player <Heinrich_Himmler> has died with 62 level(s) at X= -519, Y= 60, Z= 284 | caused by ENTITY_ATTACK | 
[2024-03-28 00:12:23] [world] The Player <NezukoChan> has died with 42 level(s) at X= -519, Y= 60, Z= 283 | caused by ENTITY_ATTACK | 
[2024-03-28 00:13:27] [world] The Player <GolemDaWanderer> has died with 50 level(s) at X= -518, Y= 65, Z= 281 | caused by Player | Feathery
[2024-03-28 00:18:51] [world] The Player <NezukoChan> has died with 43 level(s) at X= -613, Y= 68, Z= 317 | caused by ENTITY_EXPLOSION | 
[2024-03-28 00:18:58] [world] The Player <Char> has died with 892 level(s) at X= -588, Y= 73, Z= 280 | caused by VOID | 
[2024-03-28 00:25:13] [world] The Player <NezukoChan> has died with 43 level(s) at X= -521, Y= 57, Z= 283 | caused by ENTITY_ATTACK | 
[2024-03-28 00:27:41] [world] The Player <NezukoChan> has died with 43 level(s) at X= -523, Y= 57, Z= 285 | caused by Player | Feathery
[2024-03-28 00:30:06] [world] The Player <NezukoChan> has died with 43 level(s) at X= -521, Y= 57, Z= 284 | caused by LIGHTNING | 
[2024-03-28 00:34:11] [world] The Player <defnotnezuko> has died with 0 level(s) at X= -10181, Y= 58, Z= 4119 | caused by DROWNING | 
[2024-03-28 00:41:16] [world] The Player <defnotnezuko> has died with 0 level(s) at X= -10175, Y= 63, Z= 4112 | caused by FALL | 
[2024-03-28 00:44:39] [world] The Player <Milk_Frog> has died with 34 level(s) at X= 1057, Y= 17, Z= 690 | caused by VOID | 
[2024-03-28 00:51:18] [world_nether] The Player <Heinrich_Himmler> has died with 63 level(s) at X= 129, Y= 52, Z= 12 | caused by ENTITY_ATTACK | 
[2024-03-28 00:53:27] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= -5, Y= 58, Z= -70 | caused by FALL | 
[2024-03-28 00:54:17] [world_the_end] The Player <Heinrich_Himmler> has died with 63 level(s) at X= -5, Y= 58, Z= -70 | caused by FALL | 
