[2024-03-22 14:31:58] [world] The Player <Pog4lifepeople> has died with 20 level(s) at X= 2999998, Y= 16, Z= 2999981 | caused by Player | I_am_amazing
[2024-03-22 14:32:15] [world_the_end] The Player <MrBlob2U> has died with 28 level(s) at X= -161, Y= -191, Z= 35 | caused by VOID | 
[2024-03-22 14:32:30] [world] The Player <Autistic_Man> has died with 4 level(s) at X= -1229, Y= 9, Z= -395 | caused by LAVA | 
[2024-03-22 14:35:51] [world_nether] The Player <stealthassasin32> has died with 2 level(s) at X= -28, Y= 27, Z= -22 | caused by Player | hexa
[2024-03-22 14:36:08] [world_nether] The Player <stealthassasin32> has died with 2 level(s) at X= -27, Y= 32, Z= -21 | caused by Player | hexa
[2024-03-22 14:36:19] [world_nether] The Player <stealthassasin32> has died with 2 level(s) at X= -28, Y= 32, Z= -21 | caused by Player | hexa
[2024-03-22 14:36:39] [world] The Player <stealthassasin32> has died with 2 level(s) at X= -671, Y= 71, Z= -793 | caused by FALL | 
[2024-03-22 14:36:43] [world] The Player <character> has died with 19 level(s) at X= -394, Y= 63, Z= -82 | caused by FALL | 
[2024-03-22 14:39:44] [world] The Player <Autistic_Man> has died with 7 level(s) at X= -1252, Y= 11, Z= -391 | caused by FIRE_TICK | 
[2024-03-22 14:41:23] [world] The Player <Pog4lifepeople> has died with 20 level(s) at X= 999998, Y= 3, Z= 999998 | caused by Player | I_am_amazing
[2024-03-22 14:43:07] [world_nether] The Player <qwerty> has died with 9 level(s) at X= 38, Y= 32, Z= -50 | caused by Player | hexa
[2024-03-22 14:43:37] [world_nether] The Player <qwerty> has died with 9 level(s) at X= 42, Y= 34, Z= -47 | caused by Player | hexa
[2024-03-22 14:43:58] [world_nether] The Player <qwerty> has died with 9 level(s) at X= 42, Y= 34, Z= -47 | caused by Player | hexa
[2024-03-22 14:44:21] [world_nether] The Player <qwerty> has died with 9 level(s) at X= 42, Y= 39, Z= -47 | caused by Player | hexa
[2024-03-22 14:44:39] [world_nether] The Player <qwerty> has died with 9 level(s) at X= 42, Y= 35, Z= -47 | caused by Player | hexa
[2024-03-22 14:55:57] [world] The Player <digbick> has died with 22 level(s) at X= -811, Y= 14, Z= 681 | caused by FIRE_TICK | 
[2024-03-22 15:07:26] [world_nether] The Player <qwerty> has died with 12 level(s) at X= -104, Y= 26, Z= -29 | caused by LAVA | 
[2024-03-22 15:09:13] [world] The Player <digbick> has died with 23 level(s) at X= -694, Y= 71, Z= 312 | caused by Player | NezukoChan
[2024-03-22 15:09:28] [world] The Player <NezukoChan> has died with 18 level(s) at X= -690, Y= 69, Z= 315 | caused by Player | digbick
[2024-03-22 15:28:33] [world] The Player <character> has died with 19 level(s) at X= -395, Y= 63, Z= -81 | caused by FALL | 
[2024-03-22 15:29:25] [world_the_end] The Player <hexa> has died with 20 level(s) at X= -49, Y= -193, Z= -61 | caused by VOID | 
[2024-03-22 15:31:52] [world] The Player <Tester> has died with 27 level(s) at X= 500004, Y= 22, Z= 48384 | caused by Player | hexa
[2024-03-22 15:40:55] [world_the_end] The Player <MrBlob2U> has died with 17 level(s) at X= -169, Y= 57, Z= 39 | caused by FALL | 
[2024-03-22 15:42:16] [world_the_end] The Player <hexa> has died with 20 level(s) at X= -49, Y= -240, Z= -61 | caused by VOID | 
[2024-03-22 15:43:10] [world] The Player <digbick> has died with 24 level(s) at X= -748, Y= 19, Z= 330 | caused by PROJECTILE | 
[2024-03-22 15:55:57] [world] The Player <SPADE> has died with 0 level(s) at X= -548, Y= 65, Z= 346 | caused by ENTITY_ATTACK | 
